證券代碼,年月日,本益比-TSE
910322 康師傅-DR,2016/05/26,0
911616 杜康-DR,2016/05/26,0
1201 味全,2016/05/25,0
1203 味王,2016/05/25,21.6
1210 大成,2016/05/25,18.01
1213 大飲,2016/05/25,87
1215 卜蜂,2016/05/25,10.56
1216 統一,2016/05/25,24.42
1217 愛之味,2016/05/25,48.69
1218 泰山,2016/05/25,22.82
1219 福壽,2016/05/25,42.22
1220 台榮,2016/05/25,12.07
1225 福懋油,2016/05/25,12.96
1227 佳格,2016/05/25,22.81
1229 聯華,2016/05/25,12.35
1231 聯華食,2016/05/25,11.56
1232 大統益,2016/05/25,14.83
1233 天仁,2016/05/25,16.8
1234 黑松,2016/05/25,21.4
1235 興泰,2016/05/25,10.7
1236 宏亞,2016/05/25,34.82
1256 鮮活果汁-KY,2016/05/25,14.21
1702 南僑,2016/05/25,13.95
1737 臺鹽,2016/05/25,19.14
910322 康師傅-DR,2016/05/25,0
911616 杜康-DR,2016/05/25,0
1201 味全,2016/05/24,0
1203 味王,2016/05/24,21.6
1210 大成,2016/05/24,17.65
1213 大飲,2016/05/24,86
1215 卜蜂,2016/05/24,10.02
1216 統一,2016/05/24,24.1
1217 愛之味,2016/05/24,48.38
1218 泰山,2016/05/24,22.55
1219 福壽,2016/05/24,42.22
1220 台榮,2016/05/24,12.07
1225 福懋油,2016/05/24,12.02
1227 佳格,2016/05/24,22.66
1229 聯華,2016/05/24,12.29
1231 聯華食,2016/05/24,11.53
1232 大統益,2016/05/24,14.73
1233 天仁,2016/05/24,16.82
1234 黑松,2016/05/24,20.86
1235 興泰,2016/05/24,10.59
1236 宏亞,2016/05/24,34.65
1256 鮮活果汁-KY,2016/05/24,14.14
1702 南僑,2016/05/24,13.93
1737 臺鹽,2016/05/24,19.14
910322 康師傅-DR,2016/05/24,0
911616 杜康-DR,2016/05/24,0
1201 味全,2016/05/23,0
1203 味王,2016/05/23,21.6
1210 大成,2016/05/23,17.5
1213 大飲,2016/05/23,86.5
1215 卜蜂,2016/05/23,9.95
1216 統一,2016/05/23,24.38
1217 愛之味,2016/05/23,48.38
1218 泰山,2016/05/23,22.64
1219 福壽,2016/05/23,42.22
1220 台榮,2016/05/23,12.01
1225 福懋油,2016/05/23,11.62
1227 佳格,2016/05/23,22.81
1229 聯華,2016/05/23,12.26
1231 聯華食,2016/05/23,11.56
1232 大統益,2016/05/23,14.79
1233 天仁,2016/05/23,16.8
1234 黑松,2016/05/23,20.96
1235 興泰,2016/05/23,10.59
1236 宏亞,2016/05/23,34.82
1256 鮮活果汁-KY,2016/05/23,14.48
1702 南僑,2016/05/23,13.91
1737 臺鹽,2016/05/23,19.17
910322 康師傅-DR,2016/05/23,0
911616 杜康-DR,2016/05/23,0
1201 味全,2016/05/20,0
1203 味王,2016/05/20,21.6
1210 大成,2016/05/20,17.54
1213 大飲,2016/05/20,86.75
1215 卜蜂,2016/05/20,9.95
1216 統一,2016/05/20,24.1
1217 愛之味,2016/05/20,47.5
1218 泰山,2016/05/20,22.45
1219 福壽,2016/05/20,42.22
1220 台榮,2016/05/20,12.07
1225 福懋油,2016/05/20,11.43
1227 佳格,2016/05/20,22.49
1229 聯華,2016/05/20,12.14
1231 聯華食,2016/05/20,11.47
1232 大統益,2016/05/20,14.73
1233 天仁,2016/05/20,16.59
1234 黑松,2016/05/20,20.92
1235 興泰,2016/05/20,10.61
1236 宏亞,2016/05/20,34.91
1256 鮮活果汁-KY,2016/05/20,13.94
1702 南僑,2016/05/20,13.84
1737 臺鹽,2016/05/20,18.76
910322 康師傅-DR,2016/05/20,0
911616 杜康-DR,2016/05/20,0
1201 味全,2016/05/19,0
1203 味王,2016/05/19,21.6
1210 大成,2016/05/19,17.39
1213 大飲,2016/05/19,85.75
1215 卜蜂,2016/05/19,9.95
1216 統一,2016/05/19,23.86
1217 愛之味,2016/05/19,47.38
1218 泰山,2016/05/19,22.18
1219 福壽,2016/05/19,42.08
1220 台榮,2016/05/19,12.07
1225 福懋油,2016/05/19,11.44
1227 佳格,2016/05/19,22.46
1229 聯華,2016/05/19,12.11
1231 聯華食,2016/05/19,11.45
1232 大統益,2016/05/19,14.72
1233 天仁,2016/05/19,16.59
1234 黑松,2016/05/19,21.06
1235 興泰,2016/05/19,10.7
1236 宏亞,2016/05/19,34.56
1256 鮮活果汁-KY,2016/05/19,14.41
1702 南僑,2016/05/19,13.82
1737 臺鹽,2016/05/19,18.66
910322 康師傅-DR,2016/05/19,0
911616 杜康-DR,2016/05/19,0
1201 味全,2016/05/18,0
1203 味王,2016/05/18,21.55
1210 大成,2016/05/18,17.61
1213 大飲,2016/05/18,86.5
1215 卜蜂,2016/05/18,10.1
1216 統一,2016/05/18,24.14
1217 愛之味,2016/05/18,48.13
1218 泰山,2016/05/18,22.36
1219 福壽,2016/05/18,41.94
1220 台榮,2016/05/18,12.01
1225 福懋油,2016/05/18,11.41
1227 佳格,2016/05/18,22.66
1229 聯華,2016/05/18,12.11
1231 聯華食,2016/05/18,11.56
1232 大統益,2016/05/18,14.73
1233 天仁,2016/05/18,16.73
1234 黑松,2016/05/18,21.3
1235 興泰,2016/05/18,10.59
1236 宏亞,2016/05/18,34.65
1256 鮮活果汁-KY,2016/05/18,14.61
1702 南僑,2016/05/18,14.11
1737 臺鹽,2016/05/18,18.97
910322 康師傅-DR,2016/05/18,0
911616 杜康-DR,2016/05/18,0
1201 味全,2016/05/17,0
1203 味王,2016/05/17,21.6
1210 大成,2016/05/17,17.57
1213 大飲,2016/05/17,87
1215 卜蜂,2016/05/17,9.88
1216 統一,2016/05/17,24.18
1217 愛之味,2016/05/17,48
1218 泰山,2016/05/17,22.45
1219 福壽,2016/05/17,41.81
1220 台榮,2016/05/17,12.01
1225 福懋油,2016/05/17,11.46
1227 佳格,2016/05/17,22.51
1229 聯華,2016/05/17,12.08
1231 聯華食,2016/05/17,11.54
1232 大統益,2016/05/17,14.77
1233 天仁,2016/05/17,17.11
1234 黑松,2016/05/17,21.58
1235 興泰,2016/05/17,10.72
1236 宏亞,2016/05/17,34.47
1256 鮮活果汁-KY,2016/05/17,15.01
1702 南僑,2016/05/17,14.22
1737 臺鹽,2016/05/17,18.9
910322 康師傅-DR,2016/05/17,0
911616 杜康-DR,2016/05/17,0
1201 味全,2016/05/16,0
1203 味王,2016/05/16,21.7
1210 大成,2016/05/16,17.02
1213 大飲,2016/05/16,86.5
1215 卜蜂,2016/05/16,10
1216 統一,2016/05/16,24.26
1217 愛之味,2016/05/16,48.19
1218 泰山,2016/05/16,22.45
1219 福壽,2016/05/16,42.22
1220 台榮,2016/05/16,12.01
1225 福懋油,2016/05/16,11.18
1227 佳格,2016/05/16,22.46
1229 聯華,2016/05/16,12.02
1231 聯華食,2016/05/16,11.62
1232 大統益,2016/05/16,14.64
1233 天仁,2016/05/16,16.5
1234 黑松,2016/05/16,21.64
1235 興泰,2016/05/16,10.74
1236 宏亞,2016/05/16,34.65
1256 鮮活果汁-KY,2016/05/16,15.01
1702 南僑,2016/05/16,14.11
1737 臺鹽,2016/05/16,18.17
910322 康師傅-DR,2016/05/16,0
911616 杜康-DR,2016/05/16,0
1201 味全,2016/05/13,0
1203 味王,2016/05/13,19.33
1210 大成,2016/05/13,16.95
1213 大飲,2016/05/13,86.75
1215 卜蜂,2016/05/13,9.9
1216 統一,2016/05/13,24.42
1217 愛之味,2016/05/13,48.63
1218 泰山,2016/05/13,34.44
1219 福壽,2016/05/13,48.55
1220 台榮,2016/05/13,15.6
1225 福懋油,2016/05/13,11.94
1227 佳格,2016/05/13,22.54
1229 聯華,2016/05/13,12.58
1231 聯華食,2016/05/13,11.54
1232 大統益,2016/05/13,14.75
1233 天仁,2016/05/13,16.64
1234 黑松,2016/05/13,22.02
1235 興泰,2016/05/13,10.59
1236 宏亞,2016/05/13,34.82
1256 鮮活果汁-KY,2016/05/13,15.28
1702 南僑,2016/05/13,14.11
1737 臺鹽,2016/05/13,18.38
910322 康師傅-DR,2016/05/13,0
911616 杜康-DR,2016/05/13,0
1201 味全,2016/05/12,0
1203 味王,2016/05/12,19.11
1210 大成,2016/05/12,17.21
1213 大飲,2016/05/12,85.75
1215 卜蜂,2016/05/12,10.09
1216 統一,2016/05/12,23.45
1217 愛之味,2016/05/12,78.5
1218 泰山,2016/05/12,34.44
1219 福壽,2016/05/12,48.55
1220 台榮,2016/05/12,15.6
1225 福懋油,2016/05/12,12.24
1227 佳格,2016/05/12,22.69
1229 聯華,2016/05/12,12.64
1231 聯華食,2016/05/12,12.53
1232 大統益,2016/05/12,14.66
1233 天仁,2016/05/12,15.95
1234 黑松,2016/05/12,21.4
1235 興泰,2016/05/12,10.77
1236 宏亞,2016/05/12,35.09
1256 鮮活果汁-KY,2016/05/12,15.27
1702 南僑,2016/05/12,13.94
1737 臺鹽,2016/05/12,18.52
910322 康師傅-DR,2016/05/12,0
911616 杜康-DR,2016/05/12,0
1201 味全,2016/05/11,0
1203 味王,2016/05/11,19.38
1210 大成,2016/05/11,16.84
1213 大飲,2016/05/11,53.91
1215 卜蜂,2016/05/11,10
1216 統一,2016/05/11,23.1
1217 愛之味,2016/05/11,78.5
1218 泰山,2016/05/11,34.86
1219 福壽,2016/05/11,49.03
1220 台榮,2016/05/11,15.6
1225 福懋油,2016/05/11,12.41
1227 佳格,2016/05/11,22.72
1229 聯華,2016/05/11,12.58
1231 聯華食,2016/05/11,12.1
1232 大統益,2016/05/11,14.64
1233 天仁,2016/05/11,15.93
1234 黑松,2016/05/11,22.01
1235 興泰,2016/05/11,10.77
1236 宏亞,2016/05/11,21.44
1256 鮮活果汁-KY,2016/05/11,15.59
1702 南僑,2016/05/11,13.81
1737 臺鹽,2016/05/11,18.59
910322 康師傅-DR,2016/05/11,0
911616 杜康-DR,2016/05/11,0
1201 味全,2016/05/10,0
1203 味王,2016/05/10,19.29
1210 大成,2016/05/10,16.51
1213 大飲,2016/05/10,55.31
1215 卜蜂,2016/05/10,9.88
1216 統一,2016/05/10,22.82
1217 愛之味,2016/05/10,78.5
1218 泰山,2016/05/10,34.58
1219 福壽,2016/05/10,48.71
1220 台榮,2016/05/10,15.67
1225 福懋油,2016/05/10,12.27
1227 佳格,2016/05/10,22.49
1229 聯華,2016/05/10,12.61
1231 聯華食,2016/05/10,12.07
1232 大統益,2016/05/10,13.58
1233 天仁,2016/05/10,16.1
1234 黑松,2016/05/10,22.27
1235 興泰,2016/05/10,10.59
1236 宏亞,2016/05/10,21.44
1256 鮮活果汁-KY,2016/05/10,15.27
1702 南僑,2016/05/10,13.81
1737 臺鹽,2016/05/10,18.62
910322 康師傅-DR,2016/05/10,0
911616 杜康-DR,2016/05/10,0
1201 味全,2016/05/09,0
1203 味王,2016/05/09,19.2
1210 大成,2016/05/09,25.46
1213 大飲,2016/05/09,55.31
1215 卜蜂,2016/05/09,9.63
1216 統一,2016/05/09,22.78
1217 愛之味,2016/05/09,77.5
1218 泰山,2016/05/09,33.89
1219 福壽,2016/05/09,48.55
1220 台榮,2016/05/09,15.67
1225 福懋油,2016/05/09,12.08
1227 佳格,2016/05/09,22.48
1229 聯華,2016/05/09,12.61
1231 聯華食,2016/05/09,12.12
1232 大統益,2016/05/09,13.68
1233 天仁,2016/05/09,16.28
1234 黑松,2016/05/09,22.56
1235 興泰,2016/05/09,28.88
1236 宏亞,2016/05/09,21.38
1256 鮮活果汁-KY,2016/05/09,15.46
1702 南僑,2016/05/09,13.32
1737 臺鹽,2016/05/09,18.45
910322 康師傅-DR,2016/05/09,0
911616 杜康-DR,2016/05/09,0
1201 味全,2016/05/06,0
1203 味王,2016/05/06,19.15
1210 大成,2016/05/06,25.57
1213 大飲,2016/05/06,55.31
1215 卜蜂,2016/05/06,9.74
1216 統一,2016/05/06,23.1
1217 愛之味,2016/05/06,77.5
1218 泰山,2016/05/06,33.75
1219 福壽,2016/05/06,48.87
1220 台榮,2016/05/06,15.67
1225 福懋油,2016/05/06,12.14
1227 佳格,2016/05/06,22.39
1229 聯華,2016/05/06,12.61
1231 聯華食,2016/05/06,11.85
1232 大統益,2016/05/06,13.6
1233 天仁,2016/05/06,16.45
1234 黑松,2016/05/06,22.66
1235 興泰,2016/05/06,28.75
1236 宏亞,2016/05/06,21.38
1256 鮮活果汁-KY,2016/05/06,15.46
1702 南僑,2016/05/06,13.36
1737 臺鹽,2016/05/06,18.76
910322 康師傅-DR,2016/05/06,0
911616 杜康-DR,2016/05/06,0
1201 味全,2016/05/05,0
1203 味王,2016/05/05,19.15
1210 大成,2016/05/05,25.17
1213 大飲,2016/05/05,54.84
1215 卜蜂,2016/05/05,9.58
1216 統一,2016/05/05,22.94
1217 愛之味,2016/05/05,77.9
1218 泰山,2016/05/05,34.03
1219 福壽,2016/05/05,48.87
1220 台榮,2016/05/05,15.67
1225 福懋油,2016/05/05,12.12
1227 佳格,2016/05/05,22.45
1229 聯華,2016/05/05,12.67
1231 聯華食,2016/05/05,11.93
1232 大統益,2016/05/05,13.74
1233 天仁,2016/05/05,16.45
1234 黑松,2016/05/05,22.63
1235 興泰,2016/05/05,28.75
1236 宏亞,2016/05/05,21.49
1256 鮮活果汁-KY,2016/05/05,15.53
1702 南僑,2016/05/05,13.39
1737 臺鹽,2016/05/05,20.15
910322 康師傅-DR,2016/05/05,0
911616 杜康-DR,2016/05/05,0
1201 味全,2016/05/04,0
1203 味王,2016/05/04,19.11
1210 大成,2016/05/04,25.17
1213 大飲,2016/05/04,53.44
1215 卜蜂,2016/05/04,9.44
1216 統一,2016/05/04,22.82
1217 愛之味,2016/05/04,78.2
1218 泰山,2016/05/04,33.61
1219 福壽,2016/05/04,48.87
1220 台榮,2016/05/04,15.67
1225 福懋油,2016/05/04,12.16
1227 佳格,2016/05/04,22.65
1229 聯華,2016/05/04,12.61
1231 聯華食,2016/05/04,11.99
1232 大統益,2016/05/04,13.51
1233 天仁,2016/05/04,16.58
1234 黑松,2016/05/04,22.73
1235 興泰,2016/05/04,28.69
1236 宏亞,2016/05/04,21.76
1256 鮮活果汁-KY,2016/05/04,15.53
1702 南僑,2016/05/04,13.32
1737 臺鹽,2016/05/04,20.15
910322 康師傅-DR,2016/05/04,0
911616 杜康-DR,2016/05/04,0
1201 味全,2016/05/03,0
1203 味王,2016/05/03,19.38
1210 大成,2016/05/03,25.63
1213 大飲,2016/05/03,54.06
1215 卜蜂,2016/05/03,9.7
1216 統一,2016/05/03,23.31
1217 愛之味,2016/05/03,79.9
1218 泰山,2016/05/03,34.17
1219 福壽,2016/05/03,48.71
1220 台榮,2016/05/03,15.67
1225 福懋油,2016/05/03,11.86
1227 佳格,2016/05/03,22.68
1229 聯華,2016/05/03,12.61
1231 聯華食,2016/05/03,12.05
1232 大統益,2016/05/03,13.65
1233 天仁,2016/05/03,16.71
1234 黑松,2016/05/03,22.6
1235 興泰,2016/05/03,28.63
1236 宏亞,2016/05/03,21.49
1256 鮮活果汁-KY,2016/05/03,15.46
1702 南僑,2016/05/03,13.3
1737 臺鹽,2016/05/03,20.15
910322 康師傅-DR,2016/05/03,0
911616 杜康-DR,2016/05/03,0
1201 味全,2016/04/29,0
1203 味王,2016/04/29,19.2
1210 大成,2016/04/29,25.17
1213 大飲,2016/04/29,54.38
1215 卜蜂,2016/04/29,9.74
1216 統一,2016/04/29,23.47
1217 愛之味,2016/04/29,80.3
1218 泰山,2016/04/29,33.61
1219 福壽,2016/04/29,48.71
1220 台榮,2016/04/29,15.67
1225 福懋油,2016/04/29,11.65
1227 佳格,2016/04/29,22.56
1229 聯華,2016/04/29,12.64
1231 聯華食,2016/04/29,12.1
1232 大統益,2016/04/29,13.86
1233 天仁,2016/04/29,16.45
1234 黑松,2016/04/29,22.63
1235 興泰,2016/04/29,28.94
1236 宏亞,2016/04/29,21.54
1256 鮮活果汁-KY,2016/04/29,15.46
1702 南僑,2016/04/29,13.34
1737 臺鹽,2016/04/29,20.37
910322 康師傅-DR,2016/04/29,0
911616 杜康-DR,2016/04/29,0
1201 味全,2016/04/28,0
1203 味王,2016/04/28,19.55
1210 大成,2016/04/28,25.34
1213 大飲,2016/04/28,54.84
1215 卜蜂,2016/04/28,9.79
1216 統一,2016/04/28,23.83
1217 愛之味,2016/04/28,80.8
1218 泰山,2016/04/28,33.61
1219 福壽,2016/04/28,48.55
1220 台榮,2016/04/28,15.67
1225 福懋油,2016/04/28,11.73
1227 佳格,2016/04/28,22.13
1229 聯華,2016/04/28,12.7
1231 聯華食,2016/04/28,12.22
1232 大統益,2016/04/28,13.89
1233 天仁,2016/04/28,16.36
1234 黑松,2016/04/28,22.86
1235 興泰,2016/04/28,28.94
1236 宏亞,2016/04/28,21.6
1256 鮮活果汁-KY,2016/04/28,15.79
1702 南僑,2016/04/28,13.36
1737 臺鹽,2016/04/28,20.37
910322 康師傅-DR,2016/04/28,0
911616 杜康-DR,2016/04/28,0
1201 味全,2016/04/27,0
1203 味王,2016/04/27,19.6
1210 大成,2016/04/27,25.46
1213 大飲,2016/04/27,55.78
1215 卜蜂,2016/04/27,9.95
1216 統一,2016/04/27,23.79
1217 愛之味,2016/04/27,81.4
1218 泰山,2016/04/27,33.89
1219 福壽,2016/04/27,48.55
1220 台榮,2016/04/27,15.75
1225 福懋油,2016/04/27,11.8
1227 佳格,2016/04/27,22.36
1229 聯華,2016/04/27,12.77
1231 聯華食,2016/04/27,12.28
1232 大統益,2016/04/27,13.96
1233 天仁,2016/04/27,16.39
1234 黑松,2016/04/27,22.99
1235 興泰,2016/04/27,29
1236 宏亞,2016/04/27,21.86
1256 鮮活果汁-KY,2016/04/27,15.53
1702 南僑,2016/04/27,13.32
1737 臺鹽,2016/04/27,20.41
910322 康師傅-DR,2016/04/27,0
911616 杜康-DR,2016/04/27,0
1201 味全,2016/04/26,0
1203 味王,2016/04/26,19.46
1210 大成,2016/04/26,25.57
1213 大飲,2016/04/26,56.41
1215 卜蜂,2016/04/26,9.81
1216 統一,2016/04/26,23.63
1217 愛之味,2016/04/26,82.1
1218 泰山,2016/04/26,35.14
1219 福壽,2016/04/26,48.23
1220 台榮,2016/04/26,15.75
1225 福懋油,2016/04/26,11.84
1227 佳格,2016/04/26,22.51
1229 聯華,2016/04/26,12.74
1231 聯華食,2016/04/26,12.2
1232 大統益,2016/04/26,13.91
1233 天仁,2016/04/26,16.45
1234 黑松,2016/04/26,22.76
1235 興泰,2016/04/26,29
1236 宏亞,2016/04/26,22.07
1256 鮮活果汁-KY,2016/04/26,15.53
1702 南僑,2016/04/26,13.41
1737 臺鹽,2016/04/26,20.45
910322 康師傅-DR,2016/04/26,0
911616 杜康-DR,2016/04/26,0
1201 味全,2016/04/25,0
1203 味王,2016/04/25,19.38
1210 大成,2016/04/25,25.57
1213 大飲,2016/04/25,56.41
1215 卜蜂,2016/04/25,10.86
1216 統一,2016/04/25,23.71
1217 愛之味,2016/04/25,81.5
1218 泰山,2016/04/25,36.11
1219 福壽,2016/04/25,49.35
1220 台榮,2016/04/25,15.75
1225 福懋油,2016/04/25,12.39
1227 佳格,2016/04/25,22.42
1229 聯華,2016/04/25,12.8
1231 聯華食,2016/04/25,12.2
1232 大統益,2016/04/25,14
1233 天仁,2016/04/25,16.6
1234 黑松,2016/04/25,22.99
1235 興泰,2016/04/25,29.13
1236 宏亞,2016/04/25,21.86
1256 鮮活果汁-KY,2016/04/25,15.72
1702 南僑,2016/04/25,13.36
1737 臺鹽,2016/04/25,20.56
910322 康師傅-DR,2016/04/25,0
911616 杜康-DR,2016/04/25,0
1201 味全,2016/04/22,0
1203 味王,2016/04/22,19.29
1210 大成,2016/04/22,25.29
1213 大飲,2016/04/22,57.66
1215 卜蜂,2016/04/22,10.99
1216 統一,2016/04/22,23.59
1217 愛之味,2016/04/22,81.9
1218 泰山,2016/04/22,35.69
1219 福壽,2016/04/22,49.19
1220 台榮,2016/04/22,15.67
1225 福懋油,2016/04/22,12.39
1227 佳格,2016/04/22,22.42
1229 聯華,2016/04/22,12.8
1231 聯華食,2016/04/22,12.18
1232 大統益,2016/04/22,13.89
1233 天仁,2016/04/22,16.62
1234 黑松,2016/04/22,22.73
1235 興泰,2016/04/22,29.13
1236 宏亞,2016/04/22,21.91
1256 鮮活果汁-KY,2016/04/22,15.46
1702 南僑,2016/04/22,13.41
1737 臺鹽,2016/04/22,20.45
910322 康師傅-DR,2016/04/22,0
911616 杜康-DR,2016/04/22,0
1201 味全,2016/04/21,0
1203 味王,2016/04/21,19.46
1210 大成,2016/04/21,25.57
1213 大飲,2016/04/21,56.88
1215 卜蜂,2016/04/21,10.89
1216 統一,2016/04/21,23.43
1217 愛之味,2016/04/21,82.5
1218 泰山,2016/04/21,36.39
1219 福壽,2016/04/21,49.19
1220 台榮,2016/04/21,15.75
1225 福懋油,2016/04/21,12.43
1227 佳格,2016/04/21,22.45
1229 聯華,2016/04/21,12.8
1231 聯華食,2016/04/21,12.16
1232 大統益,2016/04/21,14.02
1233 天仁,2016/04/21,16.67
1234 黑松,2016/04/21,22.82
1235 興泰,2016/04/21,28.75
1236 宏亞,2016/04/21,22.07
1256 鮮活果汁-KY,2016/04/21,15.27
1702 南僑,2016/04/21,13.5
1737 臺鹽,2016/04/21,20.86
910322 康師傅-DR,2016/04/21,0
911616 杜康-DR,2016/04/21,0
1201 味全,2016/04/20,0
1203 味王,2016/04/20,19.2
1210 大成,2016/04/20,25.57
1213 大飲,2016/04/20,56.56
1215 卜蜂,2016/04/20,10.74
1216 統一,2016/04/20,23.47
1217 愛之味,2016/04/20,82.8
1218 泰山,2016/04/20,36.11
1219 福壽,2016/04/20,49.19
1220 台榮,2016/04/20,15.67
1225 福懋油,2016/04/20,12.51
1227 佳格,2016/04/20,22.36
1229 聯華,2016/04/20,12.8
1231 聯華食,2016/04/20,12.16
1232 大統益,2016/04/20,14
1233 天仁,2016/04/20,16.73
1234 黑松,2016/04/20,22.79
1235 興泰,2016/04/20,29.38
1236 宏亞,2016/04/20,22.55
1256 鮮活果汁-KY,2016/04/20,15.46
1702 南僑,2016/04/20,13.56
1737 臺鹽,2016/04/20,21.01
910322 康師傅-DR,2016/04/20,0
911616 杜康-DR,2016/04/20,0
1201 味全,2016/04/19,0
1203 味王,2016/04/19,19.33
1210 大成,2016/04/19,25.86
1213 大飲,2016/04/19,57.5
1215 卜蜂,2016/04/19,10.82
1216 統一,2016/04/19,23.51
1217 愛之味,2016/04/19,82.5
1218 泰山,2016/04/19,34.86
1219 福壽,2016/04/19,48.87
1220 台榮,2016/04/19,15.82
1225 福懋油,2016/04/19,12.55
1227 佳格,2016/04/19,22.8
1229 聯華,2016/04/19,12.96
1231 聯華食,2016/04/19,12.22
1232 大統益,2016/04/19,13.96
1233 天仁,2016/04/19,16.75
1234 黑松,2016/04/19,22.99
1235 興泰,2016/04/19,29.25
1236 宏亞,2016/04/19,22.13
1256 鮮活果汁-KY,2016/04/19,15.72
1702 南僑,2016/04/19,13.76
1737 臺鹽,2016/04/19,21.53
910322 康師傅-DR,2016/04/19,0
911616 杜康-DR,2016/04/19,0
1201 味全,2016/04/18,0
1203 味王,2016/04/18,19.15
1210 大成,2016/04/18,25.92
1213 大飲,2016/04/18,57.81
1215 卜蜂,2016/04/18,10.84
1216 統一,2016/04/18,23.83
1217 愛之味,2016/04/18,81.5
1218 泰山,2016/04/18,34.17
1219 福壽,2016/04/18,48.71
1220 台榮,2016/04/18,15.75
1225 福懋油,2016/04/18,12.55
1227 佳格,2016/04/18,22.97
1229 聯華,2016/04/18,12.83
1231 聯華食,2016/04/18,12.22
1232 大統益,2016/04/18,13.95
1233 天仁,2016/04/18,16.71
1234 黑松,2016/04/18,22.63
1235 興泰,2016/04/18,29.56
1236 宏亞,2016/04/18,21.91
1256 鮮活果汁-KY,2016/04/18,15.53
1702 南僑,2016/04/18,13.83
1737 臺鹽,2016/04/18,20.9
910322 康師傅-DR,2016/04/18,0
911616 杜康-DR,2016/04/18,0
1201 味全,2016/04/15,0
1203 味王,2016/04/15,19.24
1210 大成,2016/04/15,26.09
1213 大飲,2016/04/15,57.5
1215 卜蜂,2016/04/15,10.7
1216 統一,2016/04/15,23.79
1217 愛之味,2016/04/15,81.1
1218 泰山,2016/04/15,34.17
1219 福壽,2016/04/15,49.68
1220 台榮,2016/04/15,15.67
1225 福懋油,2016/04/15,12.61
1227 佳格,2016/04/15,23
1229 聯華,2016/04/15,12.83
1231 聯華食,2016/04/15,12.26
1232 大統益,2016/04/15,14.04
1233 天仁,2016/04/15,16.67
1234 黑松,2016/04/15,23.18
1235 興泰,2016/04/15,29.5
1236 宏亞,2016/04/15,22.02
1256 鮮活果汁-KY,2016/04/15,15.91
1702 南僑,2016/04/15,13.74
1737 臺鹽,2016/04/15,20.86
910322 康師傅-DR,2016/04/15,0
911616 杜康-DR,2016/04/15,0
1201 味全,2016/04/14,0
1203 味王,2016/04/14,19.24
1210 大成,2016/04/14,24.94
1213 大飲,2016/04/14,56.88
1215 卜蜂,2016/04/14,10.39
1216 統一,2016/04/14,23.35
1217 愛之味,2016/04/14,80.9
1218 泰山,2016/04/14,33.75
1219 福壽,2016/04/14,49.35
1220 台榮,2016/04/14,15.75
1225 福懋油,2016/04/14,12.39
1227 佳格,2016/04/14,22.74
1229 聯華,2016/04/14,12.77
1231 聯華食,2016/04/14,12.24
1232 大統益,2016/04/14,13.95
1233 天仁,2016/04/14,16.67
1234 黑松,2016/04/14,23.18
1235 興泰,2016/04/14,29.31
1236 宏亞,2016/04/14,21.91
1256 鮮活果汁-KY,2016/04/14,15.08
1702 南僑,2016/04/14,13.85
1737 臺鹽,2016/04/14,20.78
910322 康師傅-DR,2016/04/14,0
911616 杜康-DR,2016/04/14,0
1201 味全,2016/04/13,0
1203 味王,2016/04/13,19.24
1210 大成,2016/04/13,24.14
1213 大飲,2016/04/13,58.59
1215 卜蜂,2016/04/13,10.02
1216 統一,2016/04/13,23.47
1217 愛之味,2016/04/13,81.2
1218 泰山,2016/04/13,33.33
1219 福壽,2016/04/13,48.71
1220 台榮,2016/04/13,15.75
1225 福懋油,2016/04/13,12.39
1227 佳格,2016/04/13,22.77
1229 聯華,2016/04/13,12.8
1231 聯華食,2016/04/13,12.24
1232 大統益,2016/04/13,13.93
1233 天仁,2016/04/13,16.65
1234 黑松,2016/04/13,22.99
1235 興泰,2016/04/13,29.31
1236 宏亞,2016/04/13,21.97
1256 鮮活果汁-KY,2016/04/13,14.88
1702 南僑,2016/04/13,13.83
1737 臺鹽,2016/04/13,20.37
910322 康師傅-DR,2016/04/13,0
911616 杜康-DR,2016/04/13,0
1201 味全,2016/04/12,0
1203 味王,2016/04/12,19.2
1210 大成,2016/04/12,24.2
1213 大飲,2016/04/12,60.94
1215 卜蜂,2016/04/12,9.96
1216 統一,2016/04/12,23.02
1217 愛之味,2016/04/12,81.5
1218 泰山,2016/04/12,33.19
1219 福壽,2016/04/12,48.71
1220 台榮,2016/04/12,15.67
1225 福懋油,2016/04/12,12.25
1227 佳格,2016/04/12,22.77
1229 聯華,2016/04/12,12.64
1231 聯華食,2016/04/12,12.24
1232 大統益,2016/04/12,13.86
1233 天仁,2016/04/12,16.6
1234 黑松,2016/04/12,23.18
1235 興泰,2016/04/12,29
1236 宏亞,2016/04/12,21.81
1256 鮮活果汁-KY,2016/04/12,14.95
1702 南僑,2016/04/12,13.76
1737 臺鹽,2016/04/12,20.15
910322 康師傅-DR,2016/04/12,0
911616 杜康-DR,2016/04/12,0
1201 味全,2016/04/11,0
1203 味王,2016/04/11,19.24
1210 大成,2016/04/11,24.2
1213 大飲,2016/04/11,62.19
1215 卜蜂,2016/04/11,10.18
1216 統一,2016/04/11,22.94
1217 愛之味,2016/04/11,82.5
1218 泰山,2016/04/11,33.75
1219 福壽,2016/04/11,49.35
1220 台榮,2016/04/11,15.75
1225 福懋油,2016/04/11,12.27
